battery_power,clock_speed,int_memory,m_dep,mobile_wt,n_cores,ram,talk_time,pixel_area,screen_area,total_camera_mp,blue,dual_sim,touch_screen,wifi,supports_3_4G,price_range
842,2.2,7,0.6,188,2,2549,19,15120,63,3,0,0,0,1,0,1
1021,0.5,53,0.7,136,3,2631,7,1799140,51,6,1,1,1,0,1,2
563,0.5,41,0.9,145,5,2603,9,2167308,22,8,1,1,1,0,1,2
615,2.5,10,0.8,131,6,2769,11,2171776,128,9,1,0,0,0,1,2
1821,1.2,44,0.6,141,2,1411,15,1464096,16,27,1,0,1,0,1,1
1859,0.5,22,0.7,164,1,1067,10,1660616,17,10,0,1,0,0,1,1
1821,1.7,10,0.8,139,8,3220,18,387858,104,14,0,0,0,1,1,3
1954,0.5,24,0.8,187,4,700,5,588288,48,0,0,1,1,1,1,0
1445,0.5,53,0.7,174,7,1099,20,322696,17,14,1,0,0,0,1,0
509,0.6,9,0.1,93,5,513,12,1391688,190,17,1,1,0,0,1,0
769,2.9,9,0.1,182,5,3946,7,216752,10,1,1,1,0,0,0,3
1520,2.2,33,0.5,177,8,3826,13,151755,126,23,1,0,1,1,1,3
1815,2.8,33,0.6,159,4,1482,2,454036,0,19,0,0,0,0,1,1
803,2.1,17,1.0,198,4,2680,4,495360,7,18,1,0,0,1,1,2
1866,0.5,52,0.7,185,1,373,3,200428,126,30,0,0,0,1,1,0
775,1.0,46,0.7,159,2,568,11,1606768,255,19,0,0,1,1,1,0
838,0.5,13,0.1,196,8,3554,19,1820400,90,5,0,0,0,1,1,3
595,0.9,23,0.1,121,3,3752,18,357210,20,24,0,1,1,0,1,3
1131,0.5,49,0.6,101,5,1835,16,577724,247,29,1,1,1,0,1,1
682,0.5,19,1.0,121,4,2337,18,959728,11,15,1,0,1,1,0,1
772,1.1,39,0.8,81,7,2819,3,2436156,255,26,0,1,1,0,1,3
1709,2.1,13,1.0,156,2,3283,15,1348990,17,3,1,0,0,0,1,3
1949,2.6,47,0.3,199,4,1433,20,334554,55,11,0,1,0,1,0,1
1602,2.8,38,0.7,114,3,1037,20,367208,56,24,1,1,0,0,1,0
503,1.2,8,0.4,111,3,2583,12,250245,0,18,0,1,0,0,1,1
961,1.4,57,0.6,114,8,2782,7,417294,162,3,1,1,1,1,1,2
519,1.6,51,0.3,132,4,3763,4,354750,16,26,1,1,0,1,1,3
956,0.5,41,1.0,143,7,3286,12,549325,136,7,0,0,1,0,1,3
1453,1.6,52,0.3,96,2,2373,10,245157,10,30,0,1,1,1,1,2
851,0.5,21,0.4,200,5,478,10,1478973,84,10,0,0,0,1,1,0
1579,0.5,5,0.2,88,7,3532,12,2361562,187,9,1,1,0,1,0,3
1568,0.5,33,1.0,150,8,508,6,270102,5,36,1,0,1,1,1,0
1319,0.9,41,0.9,107,1,2227,3,97920,90,21,1,0,1,1,1,1
1310,2.2,51,0.6,100,4,3845,12,341582,0,0,1,1,1,0,1,3
644,2.7,22,0.7,157,8,1262,15,273991,12,3,1,0,0,0,1,0
725,1.3,60,0.4,160,8,1326,15,1416366,40,33,0,1,0,0,1,1
589,2.3,61,0.6,160,4,2113,2,349635,91,11,1,1,0,1,1,1
1725,1.6,6,0.5,119,2,3429,4,795963,30,24,1,1,1,0,1,3
790,2.0,11,0.3,87,6,3169,2,253310,6,33,0,1,0,1,1,2
560,0.5,50,0.3,159,2,2150,11,2335624,216,35,0,1,1,0,1,2
1347,2.9,44,0.6,132,1,2484,11,419678,36,19,0,0,0,1,1,2
1646,2.3,41,0.2,185,2,3339,19,3332700,180,18,1,0,1,0,1,3
1253,0.5,5,0.2,152,2,1878,4,489090,0,24,1,1,1,0,1,1
1656,1.0,34,0.1,166,3,1629,14,1281280,180,12,0,0,1,0,1,1
1195,2.8,20,0.8,110,2,504,12,2610160,27,15,1,0,1,0,1,0
1514,2.9,27,0.2,118,3,1152,20,336660,24,1,0,0,1,1,0,1
1723,1.1,42,1.0,164,8,3587,3,361782,50,15,1,1,0,0,1,3
1054,1.8,40,0.8,196,7,2296,12,20898,192,13,1,1,0,1,1,1
578,2.6,57,0.2,162,8,1270,5,1468825,45,10,1,1,0,1,1,0
596,2.1,64,0.8,111,8,3238,10,1640790,208,24,0,1,0,0,0,3
1547,3.0,14,0.7,198,3,2059,15,1908944,0,21,1,1,0,1,1,2
1760,1.4,63,0.8,127,8,2053,16,1911306,228,24,0,1,1,0,0,2
1654,1.5,43,0.3,109,2,3112,10,343434,60,0,1,1,1,0,1,3
1457,1.9,16,0.3,102,3,1440,12,1303731,136,11,0,1,0,1,1,1
1073,0.5,51,0.5,145,7,2908,18,554760,0,0,1,1,1,0,0,2
1936,2.1,46,0.6,104,3,2552,13,691012,98,30,0,1,0,0,1,2
823,2.7,60,0.5,148,8,905,17,1191078,154,32,1,1,1,1,1,0
987,1.3,61,0.4,107,3,3963,20,476420,36,9,0,1,0,1,1,3
1757,0.5,49,0.5,180,6,2056,4,188945,35,22,0,0,0,0,0,1
1063,1.4,48,1.0,128,5,2910,9,86741,195,6,0,1,1,1,1,2
1484,3.0,12,0.6,134,3,1457,20,887604,56,8,0,0,1,0,1,1
799,2.3,63,0.8,144,8,431,6,351975,90,7,1,0,1,1,1,0
1156,1.2,50,0.8,159,2,470,15,176134,0,0,1,1,1,0,1,0
1720,2.0,55,0.5,168,2,2148,5,1018809,28,33,0,0,1,1,1,2
702,2.6,9,0.7,141,3,2955,19,791280,40,5,0,1,0,0,1,2
616,1.9,44,0.8,81,3,3366,13,1053318,144,30,0,1,1,0,1,3
1358,0.5,36,0.3,155,4,3068,4,2907770,36,25,1,0,1,0,1,3
1866,1.4,30,0.5,182,3,3834,8,192348,176,0,0,0,0,0,0,3
1242,1.1,10,0.6,165,2,1050,4,562275,11,1,0,1,0,1,1,0
1166,1.5,43,0.8,80,4,3993,7,123615,7,1,0,1,1,0,1,3
1448,0.5,45,0.8,138,7,3378,2,982680,143,17,1,1,1,1,1,3
1407,2.4,22,0.7,104,4,2192,13,1426324,63,5,1,0,0,1,1,2
605,1.0,9,0.1,142,3,392,4,164160,90,24,0,0,0,0,1,0
1038,1.2,43,0.7,141,1,3709,12,2552,0,8,0,0,1,1,1,3
797,2.9,38,0.5,90,4,590,6,1078119,18,10,1,1,1,0,0,0
819,0.6,42,0.9,188,6,1814,13,421038,20,28,0,1,0,1,1,1
1114,2.8,9,0.4,197,3,907,17,1113840,70,19,0,0,1,0,1,0
1234,1.6,33,0.6,172,1,1449,6,129148,77,4,1,1,0,1,0,0
1199,2.5,16,0.2,116,4,3448,10,1812736,221,35,1,1,0,1,1,3
1103,1.0,29,0.7,111,6,1837,16,1471140,56,14,0,1,1,1,0,1
1589,0.6,58,0.9,85,7,3464,6,384714,190,7,1,1,1,1,1,3
999,2.9,64,0.2,199,4,2593,16,2257552,154,30,0,1,1,0,1,2
1510,0.9,45,0.9,180,5,3484,11,1240416,54,5,1,1,1,1,0,3
1008,0.8,61,1.0,114,3,2009,11,1208394,30,26,0,0,0,0,1,1
1127,2.9,57,0.8,163,1,2048,17,973472,55,18,1,1,1,1,1,1
1412,2.4,25,0.8,96,8,837,4,977304,135,22,1,0,0,1,0,1
1496,2.0,42,0.5,182,5,854,7,71136,0,9,1,1,1,1,0,0
1083,2.9,64,0.8,178,3,3210,4,1145950,39,12,1,1,0,0,1,3
